tanggal,beras,beras_kb1,beras_kb2,beras_km1,beras_km2,beras_ks1,beras_ks2,daging_ayam,daging_ayam_rs,daging_sapi,daging_sapi_k1,daging_sapi_k2,telur_ayam,telur_ayam_rs,bawang_merah,bawang_merah_sedang,bawang_putih,bawang_putih_sedang,cabai_merah,cabai_merah_besar,cabai_merah_keriting,cabai_rawit,cabai_rawit_hijau,cabai_rawit_merah,minyak_goreng,minyak_goreng_curah,minyak_goreng_merk1,minyak_goreng_merk2,gula_pasir,gula_pasir_premium,gula_pasir_lokal
03/ 06/ 2019,"11,700","10,600","10,250","11,750","11,550","13,000","12,600","37,350","37,350","124,850","128,450","119,150","25,650","25,650","38,200","38,200","41,900","41,900","58,250","60,200","55,950","43,550","41,450","46,050","13,150","11,250","14,300","13,600","13,900","15,050","13,050"
04/ 06/ 2019,"11,700","10,600","10,250","11,750","11,550","13,000","12,600","38,500","38,500","126,350","130,000","120,200","25,700","25,700","38,900","38,900","42,400","42,400","63,600","65,000","61,850","46,000","43,550","48,400","13,150","11,250","14,300","13,600","13,900","15,050","13,050"
05/ 06/ 2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
06/ 06/ 2019,"13,100","12,500","11,000","13,250","13,250","14,000","13,500","40,000","40,000","130,000","130,000",-,"38,000","38,000","53,750","53,750","67,500","67,500","38,750","40,000","37,500","62,500","57,500","75,000","15,100","13,000","16,500","15,750","14,400","17,500","13,000"
07/ 06/ 2019,"11,500","10,550","10,100","11,400","11,550","12,650","12,300","39,250","39,250","119,000","120,750","106,250","28,650","28,650","43,350","43,350","47,550","47,550","57,250","55,750","55,750","42,100","43,150","43,650","13,450","11,300","14,650","14,400","14,300","15,750","13,200"
10/ 06/ 2019,"11,700","10,600","10,250","11,750","11,550","13,000","12,600","37,150","37,150","120,100","123,750","114,550","25,450","25,450","38,550","38,550","41,600","41,600","52,250","51,900","50,950","43,950","42,300","45,400","13,100","11,250","14,250","13,550","13,900","15,000","13,050"
11/ 06/ 2019,"11,700","10,650","10,250","11,750","11,550","13,000","12,600","36,650","36,650","119,350","122,950","114,050","25,350","25,350","38,700","38,700","41,500","41,500","50,800","50,000","49,600","42,700","42,100","42,150","13,150","11,250","14,300","13,550","13,900","15,050","13,050"
12/ 06/ 2019,"11,650","10,600","10,250","11,700","11,450","13,000","12,650","36,250","36,250","119,250","123,000","113,800","25,000","25,000","38,700","38,700","41,700","41,700","48,550","49,400","47,450","41,000","40,750","39,900","13,050","11,200","14,200","13,550","13,850","14,900","13,050"
13/ 06/ 2019,"11,700","10,650","10,250","11,750","11,550","13,000","12,650","35,950","35,950","118,750","122,300","113,500","25,250","25,250","39,050","39,050","41,850","41,850","49,750","48,150","48,850","40,200","39,750","39,350","13,150","11,250","14,300","13,550","13,900","15,000","13,050"
14/ 06/ 2019,"11,700","10,650","10,250","11,750","11,550","13,000","12,600","35,650","35,650","118,550","122,150","113,250","25,150","25,150","39,100","39,100","41,950","41,950","50,500","49,250","49,700","40,200","39,450","39,650","13,150","11,250","14,300","13,550","13,900","15,000","13,050"
